identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000005222,1815GD,12,211,woonfunctie,Verblijfsobject in gebruik,0361100000016584
0361010000003699,1825PX,12,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000002331,1817HK,38,138,woonfunctie,Verblijfsobject in gebruik,0361100000026333
0361010000003185,1831BN,18,127,woonfunctie,Verblijfsobject in gebruik,0361100000047546
0361010000001801,1813ZE,137,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000004222,1827JV,57,139,woonfunctie,Verblijfsobject in gebruik,0361100000046604
0361010000005225,1827DC,1,75,woonfunctie,Verblijfsobject in gebruik,0361100000041771
0361010000002786,1817BK,74,130,woonfunctie,Verblijfsobject in gebruik,0361100000024143
0361010000001285,1826JA,25,116,woonfunctie,Verblijfsobject in gebruik,0361100000037433
0361010000003186,1831AB,2,150,"kantoorfunctie,woonfunctie",Verblijfsobject in gebruik,0361100000047857
0361010000004771,1824EV,92,137,woonfunctie,Verblijfsobject in gebruik,0361100000025442
0361010000001802,1813ZE,138,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000005226,1827DD,2,75,woonfunctie,Verblijfsobject in gebruik,0361100000041932
0361010000004223,1827JV,58,117,woonfunctie,Verblijfsobject in gebruik,0361100000046601
0361010000003700,1825PX,13,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000001286,1826JC,26,120,woonfunctie,Verblijfsobject in gebruik,0361100000037595
0361010000002332,1817HK,40,136,woonfunctie,Verblijfsobject in gebruik,0361100000026583
0361010000003187,1831AB,4,119,woonfunctie,Verblijfsobject in gebruik,0361100000103605
0361010000005671,1829XE,23,125,woonfunctie,Verblijfsobject in gebruik,0361100000011892
0361010000002787,1816BP,75,198,woonfunctie,Verblijfsobject in gebruik,0361100000024370
0361010000005227,1827DC,3,75,woonfunctie,Verblijfsobject in gebruik,0361100000041767
0361010000001287,1826JA,27,116,woonfunctie,Verblijfsobject in gebruik,0361100000037432
0361010000005672,1829XG,24,145,woonfunctie,Verblijfsobject in gebruik,0361100000010413
0361010000003701,1825PX,14,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005228,1827DD,4,75,woonfunctie,Verblijfsobject in gebruik,0361100000041931
0361010000002333,1817HK,42,139,woonfunctie,Verblijfsobject in gebruik,0361100000026584
0361010000004773,1824EV,94,137,woonfunctie,Verblijfsobject in gebruik,0361100000025444
0361010000002788,1817BK,76,112,woonfunctie,Verblijfsobject in gebruik,0361100000102462
0361010000001288,1826JC,28,110,woonfunctie,Verblijfsobject in gebruik,0361100000037597
0361010000004225,1827JV,60,118,woonfunctie,Verblijfsobject in gebruik,0361100000046594
0361010000005229,1827DC,5,90,woonfunctie,Verblijfsobject in gebruik,0361100000041764
0361010000005673,1829XE,25,125,woonfunctie,Verblijfsobject in gebruik,0361100000011898
0361010000002334,1817HK,44,131,woonfunctie,Verblijfsobject in gebruik,0361100000026585
0361010000001289,1826JA,29,116,woonfunctie,Verblijfsobject in gebruik,0361100000037431
0361010000002789,1816BP,77,132,woonfunctie,Verblijfsobject in gebruik,0361100000024371
0361010000003189,1831AB,6,100,woonfunctie,Verblijfsobject in gebruik,0361100000047858
0361010000004226,1827JV,61,118,woonfunctie,Verblijfsobject in gebruik,0361100000046591
0361010000003702,1825PX,15,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005230,1827DD,6,75,woonfunctie,Verblijfsobject in gebruik,0361100000103429
0361010000002335,1817HK,46,131,woonfunctie,Verblijfsobject in gebruik,0361100000026588
0361010000005674,1829XG,26,140,woonfunctie,Verblijfsobject in gebruik,0361100000010416
0361010000001290,1826JC,30,110,woonfunctie,Verblijfsobject in gebruik,0361100000037598
0361010000004775,1824EV,96,137,woonfunctie,Verblijfsobject in gebruik,0361100000025445
0361010000002790,1817BK,78,158,woonfunctie,Verblijfsobject in gebruik,0361100000024195
0361010000001811,1811DL,3,149,woonfunctie,Verblijfsobject in gebruik,0361100000105116
