postcode,p6_kwh_2023,p6_kwh_productie_2023,p6_gasm3_2023,p6_gas_aansluitingen_2023,p6_grondbeslag_m2,pc6_gemiddelde_woz_waarde_woning,pc6_eigendomssituatie_perc_koop,pc6_eigendomssituatie_perc_huur,pc6_eigendomssituatie_aantal_woningen_corporaties,buurtcode,wijkcode,gemeentecode,oppervlakte,woningequivalent,gas_ean_count,heat_demand_label_based,residential_share,address_count,p6_gasm3_2023_raw,climate_normalized,gas_input_kwh_annual,heat_gas_delivered,heat_nongas_estimated,heat_gross_annual,current_electrification_share,weight_res,weight_nonres,weight_E1,weight_E2,weight_G1,weight_G2
1483EA,3540.0,1304.0,1435.1999999999998,29,1402,466,100,0,0,BU03611003,WK036110,GM0361,1919.0,14,11,730402.5,0.9333333333333333,15,1248.0,True,5468.542559999998,5031.059155199999,7869.0925247999985,12900.151679999997,0.61,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.06666666666666665
1483EB,3218.0,736.0,1620.35,32,2447,463,100,0,0,BU03611003,WK036110,GM0361,2415.0,17,16,927875.0,1.0,17,1409.0,True,6174.019605,5680.0980366,8884.255903399999,14564.353939999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483GA,11232.0,1851.0,2608.2,68,38786,0,0,0,0,BU03611003,WK036110,GM0361,28211.0,216,39,4972707.5,0.061224489795918366,49,2268.0,True,9938.024459999999,9142.982503199999,3421526.071636059,3430669.054139259,0.9973349272812635,0.061224489795918366,0.9387755102040817,0.061224489795918366,0.9387755102040817,0.061224489795918366,0.9387755102040817
1483GB,5766.0,574.0,1316.75,32,2853,0,0,0,0,BU03611003,WK036110,GM0361,7656.0,61,16,1057490.0,0.0,20,1145.0,True,5017.212525,4615.835523,509960.7877179836,514576.6232409836,0.9910298382893342,0.0,1.0,0.0,1.0,0.0,1.0
1483GC,9992.0,970.0,1300.6499999999999,49,7654,0,0,0,0,BU03611003,WK036110,GM0361,2744.0,21,6,368537.5,0.0,7,1131.0,True,4955.866695,4559.3973594,7131.3651006,11690.76246,0.61,0.0,1.0,0.0,1.0,0.0,1.0
1483GD,9992.0,970.0,1300.6499999999999,49,7654,0,0,0,0,BU03611003,WK036110,GM0361,1194.0,11,7,149250.0,0.0,8,1131.0,True,4955.866695,4559.3973594,7131.3651006,11690.76246,0.61,0.0,1.0,0.0,1.0,0.0,1.0
1483GE,9992.0,970.0,1300.6499999999999,49,7654,0,0,0,0,BU03611003,WK036110,GM0361,5701.0,43,16,747397.5,0.0,18,1131.0,True,4955.866695,4559.3973594,7131.3651006,11690.76246,0.61,0.0,1.0,0.0,1.0,0.0,1.0
1483HA,7172.0,528.0,1674.3999999999999,35,2431,0,0,0,0,BU03611003,WK036110,GM0361,2405.0,21,4,249582.5,0.8823529411764706,17,1456.0,True,6379.9663199999995,5869.5690144,9180.607945599999,15050.176959999999,0.61,0.8823529411764706,0.11764705882352944,0.8823529411764706,0.11764705882352944,0.8823529411764706,0.11764705882352944
1483HB,4174.0,164.0,1674.3999999999999,35,2431,0,0,0,0,BU03611003,WK036110,GM0361,1901.0,15,15,307047.5,1.0,15,1456.0,True,6379.9663199999995,5869.5690144,9180.607945599999,15050.176959999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483MA,8474.0,1099.0,5842.0,49,16577,511,60,40,0,BU03611003,WK036110,GM0361,26015.0,192,29,5890410.0,0.7272727272727273,33,5080.0,True,22259.7726,20478.990792,4419159.523258,4439638.514049999,0.9953872391350804,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.2727272727272727
1483SB,4633.0,1993.0,0.0,0,0,0,0,0,0,BU03611003,WK036110,GM0361,1995.0,14,0,264337.5,1.0,14,0.0,True,0.0,0.0,264337.5,264337.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1483TA,3699.0,709.0,1128.1499999999999,53,2597,321,100,0,0,BU03611003,WK036110,GM0361,3088.0,26,26,984732.5,1.0,26,981.0,True,4298.589944999999,3954.7027493999994,6185.560710599999,10140.263459999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TB,2723.0,754.0,1423.6999999999998,39,2276,339,100,0,0,BU03611003,WK036110,GM0361,2515.0,20,20,711077.5,1.0,20,1238.0,True,5424.724109999999,4990.746181199999,7806.038898799999,12796.785079999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TC,3631.0,591.0,1385.75,40,2586,336,0,0,0,BU03611003,WK036110,GM0361,744.0,6,6,220705.0,1.0,6,1205.0,True,5280.123225,4857.713367,7597.9619330000005,12455.6753,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TD,3631.0,591.0,1385.75,40,2586,366,100,0,0,BU03611003,WK036110,GM0361,1900.0,14,14,628625.0,1.0,14,1205.0,True,5280.123225,4857.713367,7597.9619330000005,12455.6753,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TE,2585.0,476.0,1179.8999999999999,36,1377,313,100,0,0,BU03611003,WK036110,GM0361,2086.0,18,18,662092.5,1.0,18,1026.0,True,4495.772969999999,4136.111132399999,6469.302027599999,10605.413159999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TG,4061.0,1249.0,1535.2499999999998,29,2656,500,100,0,0,BU03611003,WK036110,GM0361,2693.0,17,17,524495.0,1.0,17,1335.0,True,5849.763074999998,5381.782028999998,8417.659070999998,13799.441099999996,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TH,3926.0,1642.0,1484.6499999999999,26,1311,307,80,20,5,BU03611003,WK036110,GM0361,2752.0,27,12,441770.0,1.0,27,1291.0,True,5656.9618949999995,5204.4049434,24502.074968451874,29706.479911851875,0.8248057340067538,1.0,0.0,1.0,0.0,1.0,0.0
1483TJ,2553.0,1103.0,940.6999999999999,26,969,268,40,60,10,BU03611003,WK036110,GM0361,1485.0,14,14,287987.5,1.0,14,818.0,True,3584.34921,3297.6012732,5157.7866068,8455.38788,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TK,2193.0,1059.0,878.5999999999999,37,1681,258,40,60,10,BU03611003,WK036110,GM0361,1949.0,19,19,389405.0,1.0,19,764.0,True,3347.7295799999993,3079.9112135999994,4817.2970264,7897.208239999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TL,2567.0,476.0,1061.4499999999998,46,2517,297,90,0,0,BU03611003,WK036110,GM0361,2672.0,24,24,574922.5,1.0,24,923.0,True,4044.442934999999,3720.8875001999995,5819.849679799999,9540.737179999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TM,3483.0,1098.0,1396.1,39,3022,445,100,0,0,BU03611003,WK036110,GM0361,3038.0,21,21,571982.5,1.0,21,1214.0,True,5319.559829999999,4893.9950436,7654.710196399999,12548.70524,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TN,2713.0,625.0,1044.1999999999998,28,1343,265,40,60,10,BU03611003,WK036110,GM0361,1654.0,16,16,311772.5,1.0,16,908.0,True,3978.7152599999995,3660.4180392,5725.269240799998,9385.687279999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TP,1928.0,0.0,523.25,26,670,0,0,0,0,BU03611003,WK036110,GM0361,241.0,2,1,39162.5,0.0,2,455.0,True,1993.739475,1834.2403170000002,2868.9399829999998,4703.1803,0.61,0.0,1.0,0.0,1.0,0.0,1.0
1483TR,1928.0,0.0,523.25,26,670,210,80,0,0,BU03611003,WK036110,GM0361,821.0,13,13,108782.5,1.0,13,455.0,True,1993.739475,1834.2403170000002,2868.9399829999998,4703.1803,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TS,2294.0,667.0,847.55,28,1024,261,0,0,0,BU03611003,WK036110,GM0361,1544.0,16,15,277810.0,1.0,16,737.0,True,3229.4197649999996,2971.0661837999996,4647.052236199999,7618.118419999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TT,2669.0,1231.0,1144.25,33,1313,320,90,0,0,BU03611003,WK036110,GM0361,1925.0,18,18,328927.5,1.0,18,995.0,True,4359.935775,4011.140913,6273.835787000001,10284.976700000001,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TV,3358.0,1324.0,1621.4999999999998,27,1646,463,100,0,0,BU03611003,WK036110,GM0361,2263.0,15,15,389522.5,1.0,15,1410.0,True,6178.401449999999,5684.129333999999,8890.561265999999,14574.690599999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TW,2154.0,970.0,1040.75,44,1863,285,50,50,10,BU03611003,WK036110,GM0361,2231.0,24,24,425945.0,1.0,24,905.0,True,3965.5697250000003,3648.3241470000003,5706.353152999999,9354.6773,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483TX,1672.0,0.0,939.55,31,572,171,0,0,0,BU03611003,WK036110,GM0361,1051.0,17,17,182787.5,0.9411764705882353,17,817.0,True,3579.967365,3293.5699758,5151.481244199999,8445.05122,0.61,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.05882352941176472
1483TZ,2879.0,1259.0,1493.85,44,3565,488,0,0,0,BU03611003,WK036110,GM0361,961.0,6,6,156062.5,1.0,6,1299.0,True,5692.016655,5236.6553226000005,8190.6660174,13427.32134,0.61,1.0,0.0,1.0,0.0,1.0,0.0
